ids,labels
0,68
1,33
2,72
3,51
4,71
5,6
6,27
7,7
8,23
9,0
10,76
11,75
12,81
13,69
14,40
15,43
16,92
17,97
18,70
19,53
20,70
21,49
22,75
23,41
24,21
25,16
26,39
27,8
28,8
29,40
30,20
31,61
32,41
33,93
34,56
35,50
36,58
37,11
38,25
39,37
40,63
41,24
42,49
43,73
44,56
45,22
46,41
47,58
48,25
49,17
50,4
51,6
52,9
53,57
54,2
55,32
56,71
57,52
58,42
59,69
60,77
61,27
62,15
63,38
64,26
65,35
66,43
67,82
68,63
69,92
70,66
71,90
72,28
73,91
74,76
75,32
76,82
77,10
78,77
79,40
80,71
81,78
82,54
83,6
84,29
85,89
86,78
87,33
88,11
89,67
90,22
91,18
92,26
93,21
94,13
95,21
96,50
97,75
98,37
99,98
100,26
101,83
102,47
103,86
104,43
105,69
106,76
107,17
108,57
109,59
110,25
111,20
112,27
113,0
114,9
115,71
116,8
117,43
118,57
119,56
120,85
121,10
122,19
123,92
124,33
125,20
126,21
127,99
128,70
129,46
130,11
131,16
132,1
133,74
134,51
135,91
136,60
137,35
138,52
139,23
140,4
141,11
142,52
143,42
144,24
145,95
146,89
147,39
148,51
149,58
150,58
151,77
152,18
153,60
154,45
155,66
156,58
157,20
158,24
159,88
160,36
161,8
162,87
163,10
164,30
165,47
166,54
167,67
168,51
169,83
170,9
171,40
172,27
173,83
174,95
175,53
176,18
177,73
178,18
179,40
180,39
181,64
182,22
183,80
184,16
185,28
186,2
187,95
188,98
189,83
190,12
191,24
192,45
193,13
194,94
195,24
196,58
197,63
198,7
199,87
200,6
201,78
202,68
203,60
204,6
205,23
206,44
207,31
208,80
209,93
210,73
211,98
212,49
213,90
214,97
215,59
216,2
217,67
218,16
219,81
220,94
221,68
222,99
223,77
224,3
225,44
226,0
227,76
228,79
229,71
230,89
231,57
232,47
233,24
234,65
235,2
236,32
237,36
238,82
239,31
240,23
241,24
242,34
243,21
244,11
245,53
246,80
247,93
248,4
249,39
250,91
251,16
252,36
253,68
254,50
255,97
256,8
257,31
258,6
259,42
260,80
261,76
262,89
263,55
264,19
265,91
266,82
267,1
268,6
269,62
270,99
271,51
272,96
273,0
274,42
275,18
276,67
277,50
278,40
279,62
280,78
281,84
282,28
283,89
284,30
285,66
286,18
287,64
288,42
289,92
290,27
291,55
292,86
293,44
294,96
295,12
296,16
297,67
298,88
299,89
300,96
301,86
302,40
303,7
304,28
305,38
306,76
307,31
308,18
309,28
310,19
311,18
312,41
313,42
314,43
315,97
316,93
317,15
318,61
319,8
320,37
321,89
322,32
323,67
324,12
